Rank,Team,Run,,F1 (macro),
1,jhan014,532971,,0.754545455,
2,alonzorz,532368,,0.738623988,
3,alex-obi,531656,,0.718603439,
4,pliu19,532619,,0.715895639,
5,adrianlwn,549189,,0.715679443,
6,steve050798,531891,,0.707876891,
7,arun95,533251,,0.705834287,
8,Pardeep,531973,,0.699749791,
9,RobbieHolland,549214,,0.69805895,
10,dxmahata,533322,,0.695238095,
11,a.seganti,532291,,0.692457249,
12,BolzanoWeierstrass,545667,,0.692457249,
13,mz4315,549240,,0.687437387,
14,Vadym,533315,,0.687010955,
15,Ferrari_1996,547111,,0.686888454,
16,annis,532430,,0.68171123,
17,sandro272,533291,,0.681146584,
18,apalmer,533068,,0.680698207,
19,christoph.alt,532942,,0.680255795,
20,Frisio41,549254,,0.676430935,
21,sabino,532471,,0.671247404,
22,ss11915,549151,,0.670806302,
23,vradivchev_anikolov,533229,,0.667429345,
24,Arjuniitp,533270,,0.666615218,
25,julianfmack,548742,,0.666048237,
26,Andrazp,533233,,0.663229821,
27,cainesap,533325,,0.663229821,
28,SM,533161,,0.661822135,
29,gregorwiedemann,533101,,0.660795825,
30,logesh,532443,,0.660246914,
31,Lst,531717,,0.660246914,
32,Geetika,532452,,0.659947895,
33,Nickeilf,549395,,0.65607087,
34,abaruah,533226,,0.654924515,
35,na14,533199,,0.654924515,
36,jrusert,532549,,0.652777778,
37,map18,548527,,0.652777778,
38,RyanOng,548986,,0.651960942,
39,FraserPrice,544332,,0.651142508,
40,ib_john,548707,,0.648093842,
41,DA-LD-Hildesheim,533216,,0.645585875,
42,tarunsab,547246,,0.642790698,
43,acambray,547543,,0.64,
44,ghmerti,532986,,0.639979999,
45,vhsamy,548762,,0.639350831,
46,zhangyaojie,532805,,0.638095238,
47,bld18,547332,,0.63800905,
48,jb3818,548570,,0.636498267,
49,PV318,548567,,0.636498267,
50,hatzgionule,549333,,0.62962963,
51,martinzlocha,549382,,0.620465116,
52,saradhix,533120,,0.620465116,
53,shuokabe,549331,,0.618181818,
54,Bharti,533320,,0.617094017,
55,murali_sr,533168,,0.616359828,
56,Zeyad,533252,,0.616070204,
57,mking,533021,,0.613311851,
58,vjarasse,549308,,0.609171443,
59,ShawnGung,547103,,0.607779049,
60,KC3718,548670,,0.606885255,
61,Cijee,547763,,0.605555735,
62,AyushS,533069,,0.603419786,
63,binxuankong,547230,,0.603130857,
64,g.b.colborne,533144,,0.6,
65,p-christ,547302,,0.599904739,
66,gretelliz92,533214,,0.599726589,
67,tpederse,531820,,0.59532531,
68,alebonardi,549340,,0.595027377,
69,spd18,549428,,0.592353005,
70,Rol,533294,,0.590909091,
71,jaypee1996,533123,,0.588499077,
72,MRK108,532693,,0.588499077,
73,resham,532814,,0.586643702,
74,sd4215,549353,,0.585897865,
75,garain,533103,,0.57957958,
76,Ruichen.Z,548818,,0.578497882,
77,j4freeman,546014,,0.577905159,
78,priyakmi,533094,,0.575376731,
79,himanisoni,533284,,0.573333333,
80,az4918,548825,,0.563636364,
81,christololov,547249,,0.560707749,
82,Xcosmos,532097,,0.560707749,
83,syzmony,549262,,0.560185185,
84,saroyehun,531901,,0.55684516,
85,Rohit,532008,,0.552556818,
86,JU_ETCE_17_21,533108,,0.545875438,
87,Taha,532496,,0.540071741,
88,KVETHZ,532432,,0.539508111,
89,alextoma96,547341,,0.537777778,
90,ayman,533324,,0.537777778,
91,hannahchong,544404,,0.537777778,
92,imprasshant,533259,,0.537777778,
93,FBY,549343,,0.536363636,
94,desi,533326,,0.529359032,
95,bhanodaig,533169,,0.528167582,
96,stefan.lauren,547711,,0.528167582,
97,v.gambhir15,532123,,0.528167582,
98,hbansal0122,532989,,0.524603837,
99,Marttinho,548603,,0.518647887,
100,TomFrench,548735,,0.51863047,
101,Panaetius,532757,,0.513221154,
102,xiaoxi,546060,,0.508837209,
103,dingyan,549314,,0.506953224,
104,eruppert,533156,,0.506953224,
105,ecwu,531958,,0.499964078,
106,la1515,548646,,0.487523641,
107,ecahn,533124,,0.485591808,
108,Ziv_Ben_David,533185,,0.483690912,
109,thenmozhid,532649,,0.47997111,
110,Gal_DD,533192,,0.472796935,
111,Elyash,533176,,0.470198675,
112,gt4118,545732,,0.470198675,
113,harry-uglow,549271,,0.470198675,
114,kentheo,548758,,0.470198675,
115,kerner-jct.ac.il,533183,,0.470198675,
116,ninab,531601,,0.470198675,
117,Phlogiston90,546004,,0.470198675,
118,swt14,548888,,0.470198675,
119,ShalomRochman,533128,,0.469313547,
120,kroniker,532908,,0.461451364,
121,Macporal,532701,,0.452639752,
122,hw2918,548341,,0.443155452,
123,bogdan27182,532309,,0.432112676,
124,dianalungu725,532497,,0.417877778,
125,eliott15,548594,,0.417529078,
126,supriyamandal,532852,,0.26993007,
127,krd115,549079,,0.16236912,
128,lukez,533071,,0.12109375,
129,tn,548651,,0.111189118,
130,JiajunChen,549091,,0.101123596,
131,maxelliott456,549324,,0.101123596,
